"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
3082,"Linda Castillo","MICI","Linda","Castillo","Directora general de defensa comercial de la dirección nacional de administración de tratados comerciales internacionales y defensa comercial dinatradec","honduras","honduras","15:-86,5'","Participó de la ""Cuarta Ronda de Negociación del Tratado de Libre Comercio entre Centroamérica y Corea"" realizado en Tegucigalpa, Honduras.","22/5/2016",2016,"25/5/2016","624.4",,1200,,"no","No"
3083,"Néstor González","MICI","Néstor","González","Viceministro de comerico exterior del ministerio de comercio e industrias","países bajos","holanda","52,5:5,75'","Participó del ""Panamá Invest Rotterdam"" realizado en Rotterdam, Paises Bajos","21/5/2016",2016,"25/5/2016","5373.19",,2800,,"no","No"
3084,"Iván Jiménez","MICI","Iván","Jiménez","Economista dela agencia de atracción dela inversión y promoción de la exportación proinvex","tailandia","tailandia","15:100'","Participó de la ""Segunda Conferencia Regional para los Embajadores, Cónsules y Representantes Comerciales de Panamá en Asia, África y Medio Oriente"" realizado en Bangkok, Tailandia.","20/5/2016",2016,"27/5/2016","2465.45",,4200,,"no","No"
3085,"Ariel Moraleas","MICI","Ariel","Moraleas","Director ejecutivo de la comisión nacional de bolsa de productos (conabolpro)","japón","japón","36:138'","Participó del ""Curso de Emprendimiento basado en Comunidades para el Desarrollo Rural"" realizado en Japón","8/5/2016",2016,"30/5/2016",,,3300,,"no","No"
3086,"Ela Jaén","MICI","Ela","Jaén","Asesora del viceministro de comercio exterior del ministerio de comercio exterior","emiratos árabes unidos","emiratos arabes unidos","24:54'","Participó del ""Global Value Chain Opportunities for the Free Zone of the Future"" realizado en Dubai, Emiratos Árabe.","6/5/2016",2016,"12/5/2016","1770.2",,3600,,"no","No"
3087,"Néstor González","MICI","Néstor","González","Viceministro de comerico exterior del ministerio de comercio e industrias","emiratos árabes unidos","emiratos arabes unidos","24:54'","Participó del ""Global Value Chain Opportunities for the Free Zone of the Future"" realizado en Dubai, Emiratos Arabe.","6/5/2016",2016,"12/5/2016","1770.2",,4200,,"no","No"
3088,"Felix Stanziola","MINSA","Felix","Stanziola","Director de informatica","portugal / españa","portugal","39,5:-8'","Establecer las bases y acuerdos para el intercambio de información y cooperación técnica para el desarrollo del sector farmacéutico en el marco de protocolo de colaboración entre la Autoridad Nacional de Medicamento e Productos de Salud de Portugal (INFARMED) y la Dirección Nacional de Farmacias y Drogas de Panamá, Dar seguimiento a temas de interés identificados y acordar áreas y mecanismos de cooperación bilateral en entrenamientos de profesionales, regulación de medicamentos, áreas de terapias avanzadas con células, entre otros; enmarcada en la visita realizada por el Viceministro de Salud y el Ministro Consejero (20-24 de abril, 2015).","9/21/2015",2015,"10/5/2015",,"B/1106.00",,609009,"no","No"
3089,"Yariela Heart","MINSA","Yariela","Heart","Coordinadora medico veterinario del depto. de proteccion de alimentos","guatemala","guatemala","15,5:-90,25'","PARTICIPAR EN EL TALLER REGIONAL DE ANALISIS DE RIESGO DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS","8/9/2016",2016,"8/12/2016",,"Cubierto Por Pracams",300,,"no","No"
3090,"Aurelio Nuñez","MINSA","Aurelio","Nuñez","Jefe del programa nacional de its/vih","república dominicana","república dominicana","19:-70,666667'","REALIZAR UNA VISITA AL CENTRO DE ATENCION EN VIH","8/28/2016",2016,"9/1/2016",,"Cubierto Por La Division Global De Vih Y Tuberculosis De Lso Centros Para El Control Y Prevencion De Enfermedades (cdc) Oficina Regional Para Centroamerica",400,,"no","No"
3091,"Lissete Chang","MINSA","Lisseth","Chang","Encargada de la guia de atencion de its/vih","república dominicana","república dominicana","19:-70,666667'","REALIZAR UNA VISITA AL CENTRO DE ATENCION EN VIH","8/28/2016",2016,"9/1/2016",,"Cubierto Por La Division Global De Vih Y Tuberculosis De Lso Centros Para El Control Y Prevencion De Enfermedades (cdc) Oficina Regional Para Centroamerica",400,,"no","No"
3092,"Raul Bravo","MINSA","Raul","Bravo","Coordinador nacional de salud sexual y reproductiva","la habana, cuba","cuba","22:-79,5'","PARTICIPAR EN LA REUNION LATINOAMERICANA DE DIABETES GESTACIONAL","8/15/2016",2016,"8/19/2016",,"Cubierto Por Ops/oms",400,,"no","No"
3093,"Mario Torrero","MINSA","Mario","Torrero","Jefe del deto. de farmacovigilancia dela direccion de farmacia y drogas","san josé, costa rica","costa rica","10:-84'","Participar en la Presentación de la Publicación “Elementos Básicos de Farmacovigilancia: Centroamérica y el Caribe así como en el Curso de “Buenas prácticas de Farmacovigilancia: Actores del Sistema.","8/9/2016",2016,"8/12/2016",,"Facultad De Farmacia De La Universidad De Costa Rica",300,,"no","No"
3094,"Lourdes Moreno","MINSA","Lourdes","Moreno","Jefa del depto. de epidemiologia","uruguay","uruguay","-33:-56'","Participar en el II Encuentro de Neumococo.","8/30/2016",2016,"9/3/2016",,"Cubierto Por El Hospital De Niños De San Jose De Costa",400,,"no","No"
3095,"Maria Esquivel","MINSA","Maria","Esquivel","Autoridad coordinadora nacional de armas quimicas","brasilia, brasil","brasil","-10:-55'","PARTICIPAR EN EL SEMINARIO REGIONAL PREPARATORIA A LA VIII CONFERENCIA DE EXAMEN DE LA CONVENCION PARA LA PROIBICION DE LAS ARMAS BIOLOGICAS (CPAB)","8/21/2016",2016,"8/23/2016",,"Cubierto Por La Oficina De Asuntos De Desarme De Las Naciones Unidas (unoda)",250,,"no","No"
3096,"Rigoberto Samaniego","MINSA","Rigoberto","Samaniego","Infectologia asesor de las clinicas tarv","república dominicana","república dominicana","19:-70,666667'","REALIZAR UNA VISITA AL CENTRO DE ATENCION INTEGRAL EN VIH","8/28/2016",2016,"9/1/2016",,"Cubierto Por La Division Global De Vih Y Tuberculosis De Lso Centros Para El Control Y Prevencion De Enfermedades (cdc) Oficina Regional Para Centroamerica",400,,"no","No"
3097,"Luz Lasso","MINSA","Luz","Lasso","Jefa del depto. de formulacion y evaluacion de inversion","bogotá, colombia","colombia","4:-72'","PARTICIPAR DEL 1ER ENCUENTRO DE LA RED CONJUNTA DE LOS SISTEMA DE SALUD PARA AMERICA LATINA Y EL CARIBE SOBRE LA SOSTENIBILIDAD FINACIERA DE LOS SISTEMAS DE SALUD MEJORAMIENTO EL DIALOGO","7/6/2016",2016,"7/9/2016",,"Cubrira La Ops/oms",300,,"no","No"
3098,"Israel Cedeño","MINSA","Israel","Cedeño","Coordinador nac. de vigilancia epidemiologica internacional","florida, estados unidos","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR DE LA CONSULTA REGIONAL SOBRE LA IMPLEMENTACION DEL REGLAMENTO SANITARIO INTERNACIONAL (RSI9 EN LAS AMERICAS","7/31/2016",2016,"8/4/2016",,"Cubierto Por Ops/oms",500,,"no","No"
3099,"Myrna Mclaughlin","MINSA","Myrna","McLaughlin","Asesora del despacho superior","bogotá, colombia","colombia","4:-72'","PARTICIPAR EN LA REUNION DE GRUPO DE TRABAJO DE CRIBADO CERVICAL U DE MAMA Y EN EL PROGRAMA DE TALLER DE CRIBADO DE CANCER DE CUELLO UTERINO","7/6/2016",2016,"7/9/2016",,"Cubierto Por International Society Of Nurses Cancer Care",300,,"no","No"
3100,"Jenny Vergara","MINSA","Jenny","Vergara","Direcora de framacia y drogas","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR EN EL TALLER PARA LA CONFORMIDAD DE LA RED DE AUTORIDADES REGULADORAS DE MEDICAMENTO PARA CENTROAMERICAY REPUBLICA DOMINICANA-DESARROLLO DE LOS SITEMAS DE REGULACION Y A LA VEZ RELALIZARA UNA VISITA OFICIAL A LA DIRECCION NAC. DE MEDICAMENTOS DEL SALVADOR, CON LA FINALIDAD DE ESTRECHAR RELACIONES DE AMISTAD Y COOPERACION PARA EL FORTALECIMIENTO DE CAPACIDADES REGULATORIAS ENTRE AMBOS PAISES","7/24/2016",2016,"7/28/2016",,"Cubierto Por Comisca",1400,,"no","No"
3101,"Edgar Agames","MINSA","Edgar","Agames","Medico psiquiatra del programa nacional de salud mental","mexico","méxico","23:-102'","PARTICIPAR DE LA CAPACITACION PARA CAPACITADORES EN LAS GUIAS MHGAP","7/25/2016",2016,"7/29/2016",,"Cubierto Por La Ops/oms",400,,"no","No"
3102,"Tatiana De Janon","MINSA","Tatiana","De Janon","Coordinadora general del proyecto saneamiento de la bahia","japón","japón","36:138'","CAPACITACION DE CONTRAPARTES EN JAPON EN EL MARCO DEL PROYECTO DE MEJORAMIENTO DE LA ADMINISTRACION DE AGUAS METROPOLITANAS DE PANAMA","7/4/2016",2016,"7/17/2016",,"Cubierto Por Jica",1950,,"no","No"
3103,"Milagros Caicedo","MINSA","Milagros","Caicedo","Funcionaria del hospital luis chicho fabrega","bolivia","bolivia","-17:-65'","PARTICIPAR EN LA REUNIÓN PARA PREPARAR EL BORRADOR DE UN PLAN DE ACCIÓN BASADO EN LOS PERFILES NACIONALES DEL SISTEMA DE GESTIÓN DE LA INFORMACIÓN SOBRE SEGURIDAD RADIOLÓGICA (RASIM) CON RESPECTO A LA ESFERA TEMÁTICA (SEGURIDAD DEL TRANSPORTE).","7/19/2016",2016,"7/25/2016",,"Cubierto Por Oiea",600,,"no","No"
3104,"Julio Santamaria","MINSA","Julio","Santamaria","Asesora del despacho superior","cartagena de indias, colombia","colombia","4:-72'","PARTICIPAR EN EL CURSO SOBRE CALIDAD Y HUMANIZACION DE LOS SERVICIOS DE SALUD","7/12/2016",2016,"7/18/2016","356.8",,600,,"no","No"
3105,"Tatiana De Janon","MINSA","Tatiana","De Janon","Coordinadora general del proyecto saneamiento de la bahia","nicaragua","nicaragua","13:-85'","PARTICIPAR EN LA CAPACITACION GLOBAL EXECUTIVE MBA 2016-2017 BRINDADO POR EL INCAE BUSINESS SHOOL","5/29/2016",2016,"6/5/2016","651.33",,700,,"no","No"
3106,"Tatiana De Janon","MINSA","Tatiana","De Janon","Coordinadora general del proyecto saneamiento de la bahia","nicaragua","nicaragua","13:-85'","PARTICIPAR EN LA CAPACITACION GLOBAL EXECUTIVE MBA 2016-2017 BRINDADO POR EL INCAE BUSINESS SHOOL","6/26/2016",2016,"7/3/2016","511.77",,700,,"no","No"
3107,"Aldacira Bradshaw","MINSA","Aldacira","Bradshaw","Punto focal de alcohol","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR DEL TALLER SUBREGIONAL SOBRE SISTEMA DE INFORMACION Y VIGILANCIA EN EL CAMPO DE LA SALUD MENTAL Y EL USO DE ALCOHOL","6/13/2016",2016,"6/17/2016",,"Cubierto Por Ops/oms",400,,"no","No"
3108,"Aurelio Nuñez","MINSA","Aurelio","Nuñez","Jefe del programa nacional de its/vih","el salvador","el salvador","13,833333:-88,916667'","PARTICPAR EN LA REUNION PLENARIA ANUAL DEL GRUPODE ASESOR EN VIH, TUBERCULOSIS Y MALARIA","6/25/2016",2016,"6/28/2016",,,300,,"no","No"
3109,"Francisco Terrientes","MINSA","Francisco","Terrientes","Ministro de salud","ginebra, suiza","suiza","47:8'","PARTICIPAR DE LA ASAMBLEA MUNDIAL (AMS) DE LA ORGANIZACIÓN MUNDIAL DE LA SALUD (OMS)","6/21/2016",2016,"6/25/2016",,,2800,,"no","No"
3110,"Natasha Dormoi","MINSA","Natasha","Dormoi","Directora de asuntos internacionales y cooperacion tecnica","ginebra, suiza","suiza","47:8'","PARTICIPAR DE LA ASAMBLEA MUNDIAL (AMS) DE LA ORGANIZACIÓN MUNDIAL DE LA SALUD (OMS)","6/21/2016",2016,"6/29/2016",,,4800,,"no","No"
3111,"Karolyn Chong","MINSA","Karolyn","Chong","Enfermera del programa nacional para el control de tuberculosis","lima, perú","perú","-10:-76'","PARTICIPAR EN EL XXV CURSO INTERNACIONAL DE EPIDEMIOLOGIA Y CONTROL DE LA TUBERCULOSIS","6/2/2016",2016,"6/10/2016",,,1125,,"no","No"
3112,"Guillermino Santamaria","MINSA","Guillermino","Santamaria","Abogado de la direccion de asesoria legal","la habana, cuba","cuba","22:-79,5'","PARTICIPAR DEL V ENCUENTRO DE LA SECCION Y LA V JORNADA CIENTIFICA DE JURISTAS DE LA SALUD","5/29/2016",2016,"6/5/2016",,,700,,"no","No"
3113,"Genevieve Epailly","MINSA","Genevieve","Epally","Coordinadora de la asesoria legal del despacho","la habana, cuba","cuba","22:-79,5'","PARTICIPAR DEL V ENCUENTRO DE LA SECCION Y LA V JORNADA CIENTIFICA DE JURISTAS DE LA SALUD","5/29/2016",2016,"6/5/2016",,,700,,"no","No"
3114,"Iris Abrego","MINSA","Iris","Abrego","Sudirectora nac. de farmacia y drogas","lima, perú","perú","-10:-76'","PARTICIPAR DE LA PRIMERA REUNION PARA LA ELABORACION Y EJECUCION DE PLANES DE ACCION NACIONALES SOBRE LA RESISTENCIA A LOS ANTIMICROBIANOS EN LA REGION DE LAS AMERICAS","6/23/2016",2016,"6/27/2016",,,400,,"no","No"
3115,"Marggina Aranda","MINSA","Marggina","Aranda","Coordinadora de las clinicas amigables y de protocolos de hepatitis virales","república dominicana","república dominicana","19:-70,666667'","REALIZAR UNA VISITA AL CENTRO DE ATENCION INTEGRAL EN VIH","8/28/2016",2016,"9/1/2016",,"Cubierto Por La Division Global De Vih Y Tuberculosis De Los Centros Para El Control Y Prevencion De Enfermedades (cdc) Oficina Regional Para Centroamerica",400,,"no","No"
3116,"Nadja Benson","MINSA","Nadja","Benson","Jefa del depto. de salud radiologica","montevideo, uruguay","uruguay","-33:-56'","PARTICIPAR EN EL CURSO REGIONAL DE CAPACITACION PARA AYUDAR A LOS PAISES EN REDACCION DE REGLAMENTOS NACIONALES TOMADO EN CONSIDERACION AL ANALISIS DE LAS DEFICIENCIAS NACIONALES","9/11/2016",2016,"9/17/2016",,"Cubierto Por Oiea",600,,"no","No"
3117,"Genevieve Epailly","MINSA","Genevieve","Epailly","Abogada de digesa","montevideo, uruguay","uruguay","-33:-56'","PARTICIPAR EN EL CURSO REGIONAL DE CAPACITACION PARA AYUDAR A LOS PAISES EN REDACCION DE REGLAMENTOS NACIONALES TOMADO EN CONSIDERACION AL ANALISIS DE LAS DEFICIENCIAS NACIONALES","9/11/2016",2016,"9/17/2016",,"Cubierto Por Oiea",600,,"no","No"
3118,"Yadira Molto","MINSA","Yadira","Molto","Funcionaria del depto. de epidemiologia","brasil","brasil","-10:-55'","PARTICIPAR EN EL x SIMPOSIO INTERNACIONAL DE EXPERTOS LATINOAMERICANOS","9/19/2016",2016,"9/23/2016",,"Cubierto Por Fondation Meriex En Colaboracion Conla Sociedad Latinoamericana De Infectologia Pediatrica (slipe)",400,,"no","No"
3119,"Ricardo Hughes","MINSA","Ricardo","Hughes","Jefe del depto. de salud en situacion de contingencias","bogotá, colombia","colombia","4:-72'","PARTICIPAR EN EL DESARROLLO DEL COMPONENTE DE SALUD DEL EJERCICIO REGIONAL DE RESPUESTAS A TERREMOTOS (SIMEX INSARAG 2016)","9/25/2016",2016,"10/1/2016",,"Cubierto Por Ops/oms",600,,"no","No"
3120,"Yeny Carrasco","MINSA","Yeny","Carrasco","Funcionaria del depto. de provision","guatemala","guatemala","15,5:-90,25'","PARTICIPAR EN LA CONVOCATORIA XLIV REUNION DEL CONSEJO CONSULTIVO DEL INCAP","9/8/2016",2016,"10/10/2016",,"Cubierto Por El Incap",200,,"no","No"
3121,"Cecilio Tejeira","MINSA","Cecilio","Tejeira","Coordinador de la direccion de asuntos internacionales y cooperacion tecnica","san josé, costa rica","costa rica","10:-84'","PARTICIPAR EN LA REUNION DEL CONSEJO DE ASOCIACION COSTA RICA- PANAMA","9/11/2016",2016,"10/14/2016",,"Cubierto Por Ops/oms",1200,,"no","No"
